195.175   0.171 195.348 
203.492   0.116 203.627 
189.758   0.139 189.918 
209.263   0.115 209.400 
192.809   0.139 192.947 
195.118   0.176 195.314 
183.841   0.127 184.000 
203.362   0.191 203.558 
182.426   0.175 182.657 
192.981   0.103 193.117 
192.004   0.127 192.146 
207.686   0.143 207.867 
184.489   0.127 184.673 
215.299   0.151 215.474 
210.439   0.159 210.635 
215.224   0.167 215.390 
197.339   0.169 197.565 
234.090   0.132 234.280 
187.641   0.172 187.852 
199.811   0.208 200.027 
184.108   0.176 184.317 
196.436   0.159 196.592 
190.601   0.139 190.752 
197.711   0.167 197.883 
200.784   0.168 200.969 
197.029   0.151 197.179 
190.760   0.139 190.898 
193.014   0.171 193.186 
209.636   0.151 209.815 
188.142   0.124 188.283 
179.652   0.163 179.813 
188.438   0.191 188.649 
193.633   0.167 193.808 
179.830   0.159 180.019 
191.098   0.184 191.292 
196.519   0.135 196.653 
225.509   0.135 225.666 
198.203   0.200 198.427 
200.579   0.124 200.700 
199.449   0.239 199.708 
